"x","y"
83.7,54.4
86.6,54.8
86.4,55.3
85.3,56.5
86.7,54.7
86.5,52.4
89.9,53.8
90.2,54
90.2,51.5
91.3,51.5
91.4,53.5
93.9,51.9
94.2,52.2
97.2,52.2
97.3,52.2
97.6,52.2
100.7,52.9
105.4,53.4
105.4,53.5
104,55.5
106.9,55.1
108.1,54.9
108.2,53
109.9,52.6
110,52
111.2,51.5
112.6,51.3
113.6,52
113.8,51.9
114.5,52.4
116,52.5
116.2,52.3
117.5,52.9
118,52.4
116.6,50.9
116.5,49.9
116.8,49.3
117,49.3
118.3,49.8
119.8,49.1
117.5,48.2
115.7,48.7
115.3,48
116,45.7
115.2,45.7
114.9,45.6
114.8,44.2
114.2,44.6
113.8,44.5
113.2,43.2
112.1,43.1
111.9,41.3
111.6,41.1
107.2,41.8
107.2,41.2
105.2,39.6
105.1,38
104.5,37.7
103.4,36.7
102.9,36.9
101.3,35.7
100.9,36.5
100.6,36.9
100.1,36.8
99.4,37.6
98.3,37.7
97.7,37.3
97.6,36
95.1,37.3
94.4,38.3
94,37.9
93.9,37.3
92.1,37.1
92,36.5
90.8,36
90.7,36
89.8,36.2
89,36
87.2,37.1
87.4,36.2
89.1,34.4
87.5,33.8
86.8,37.6
86.5,37.6
85.7,34
85.7,33.9
85.1,33.8
83.5,32.4
82.4,33.4
82,33.2
79.5,32.6
82.7,34.2
82.7,34.7
82.2,35.2
81.4,35.7
82.7,36.8
82.4,37.2
84.6,39
84.1,39.9
84.5,40.6
84.6,41.1
84.4,43.1
83.9,43.7
83,43.3
80,43.1
79.9,43.1
80.7,45.2
80.1,46.8
77.5,44.6
80.9,45.2
82.4,46
82.6,47.6
80.8,48.3
80.9,48.5
81.1,48.9
80.9,50.6
82.4,51.6
82.6,50.2
83.6,49.7
84.2,50.5
85.9,49.4
86.3,52.2
86.4,52.2
89.1,52
89.4,50.9
89.5,50.9
89.8,51
89.8,51.5
89.8,50.2
88.5,50.4
88.5,50.3
89.3,49.5
89.5,49.4
89.8,49.5
89.8,48.8
89.1,48.3
89.8,48
88.6,48.3
87.8,47.5
88.1,47
89.8,46.4
87.9,46.2
88,45.8
89.1,44.9
89.8,45.5
88.7,44.2
89,43.7
89.8,42.9
87.7,41.6
87.8,41.4
88.9,40.4
89.1,40.5
89.8,42.2
89.8,40.7
88.9,40.1
90.5,39.3
91.7,40.3
89.8,40.3
91.2,38.6
91.3,38.6
93.4,39.5
92.9,40.3
93.9,39.2
94.4,40.3
94.5,38.7
96.1,39.1
95.6,40.3
96.5,39.2
97.3,40.3
97.4,40.3
99.1,39.2
97.9,40.3
100.8,39.5
100.7,40.1
98.3,40.3
100.7,40.3
101.2,39.1
101.6,38.9
102,38.8
102.7,39.3
103.1,39.7
103.1,40.5
101.9,40.3
106.9,43.2
106.8,43.2
107,43.5
107,43.6
107.2,43.6
110.2,46
109,47.5
107.4,46.6
107.4,46
109.3,48.4
109.3,48.7
108.1,49.2
107.8,49
107.2,47.8
106.7,49.5
106.6,49.3
105.9,50.6
105.8,50
105.5,51.6
105.3,51.8
104.4,51.2
104.4,51
104,51.1
105.6,52.8
100.9,52.1
101,51.9
102.4,51.4
101.1,51.5
101.9,51.5
100.2,51.5
98.5,51.5
97.1,51.5
93.9,51.5
108.2,50.7
110.1,49.1
110.5,49
111,49.3
111.7,49.9
112.3,49.8
112.8,49.9
113.1,49.7
113.5,49.6
114.4,51.1
114,49.1
112.8,47.5
112.8,47.3
113.5,47
114.5,47.4
113.8,45.8
114.3,45.6
113.3,45.2
111.9,44.9
111.8,43.5
111.9,45
112.7,47.2
111.3,47.4
110.7,46.9
111,48.4
112,48.7
111.8,49.1
112.1,49.4
112.3,48.6
112.6,48.4
102.6,37.5
90.3,37.3
89.2,37.4
87.6,38.2
85.6,37.9
84.2,36.4
84.1,36.1
85.5,34.2
83.5,35.3
87.2,42.5
87.1,42.5
86.8,42.5
85.5,43.4
86.3,44.2
86.6,44.8
86.6,44.9
86.1,45.6
84.7,46.2
84.4,45.9
83.8,44.2
84.6,47.7
84.6,47.8
83.7,49.2
85.9,48.7
86,48.6
86.3,48.8
88.2,50.5
88.2,49.2
87.4,47.6
86.5,46
87.9,44.1
78.1,18.2
106.8,24
105.9,21.7
109.9,20.7
110.1,20.6
112.1,21.1
112.3,20.3
111.6,19.5
114.3,18.3
115.5,17.8
115.6,17.8
116.2,15.3
116,14.3
116.1,13.6
116.7,13.3
118.5,12.5
118.7,12
120,11.7
120.7,11.2
119.6,9
118,8.8
117.9,8.6
116.1,8.4
115.3,10
115.1,10.4
115.2,11.6
114.9,12.1
115.4,14.3
113.5,13.6
113.2,14.1
111.4,13.3
114,14.7
114.6,15.7
116.4,11.5
117.9,11
117.9,10.3
117.9,9.7
111.4,19.5
26.1,65.8
27.3,64
31.1,65.5
28.9,69.4
24,62
26.5,61.1
27.4,61.2
27.5,61.3
27.6,61.7
31.2,64
31.3,65.4
35,66
35.6,66.5
35.7,66.8
35.5,67.2
33.7,68.7
29,69.5
33.8,70.8
31.4,72.5
35.8,71
37.6,73.3
38,74.5
35,75.5
38.6,74.7
39.8,78.2
39.1,78.8
40,78.4
39.8,79.1
43.7,80.5
43.9,80.8
43.6,81.2
47.2,82
47.4,83.3
47.8,81.6
52.1,79.3
52.5,79.5
53.9,82.4
52.3,85.1
58.2,84.5
58.6,85.1
57.2,86.9
61.9,85.9
62,87.9
65.8,83.6
65.9,83.8
67.6,89.1
71.4,88.2
71.2,89.4
74.1,84.9
74.8,89.6
74.3,84.2
76.4,85.7
77.6,88
75.8,89.7
78.9,88.6
80,90
80.2,85.5
80.8,85.1
83.5,89.8
81.1,84.2
82.5,83.4
85.7,83
85.8,83.1
85.4,88.4
84.5,89.7
88.8,88.1
90.3,89.3
90.5,84.4
91.3,84.9
91.5,89.2
92.9,85.2
95,86.3
94.5,88.6
97.5,84.9
97.7,84.8
99.5,87.6
99.8,81.1
104.9,82.5
105.9,85.3
105.2,86
106.4,85.6
110.9,82.6
111.5,83.7
111,81.4
116,79.7
113.2,83
116.1,79.7
117.2,80.8
119.1,76
124.5,75.3
124.6,75.7
124.5,75.9
124.7,75.8
124.7,74.3
126.7,74.1
123.5,68.7
124.9,68.6
130.3,70.4
129.5,66.2
130.8,66.7
131.6,68.8
134.5,64.5
134.6,64.7
134.6,63.3
135.7,61.9
136,61.7
132.6,59.3
133.6,56.3
138,55.3
133.2,56.2
130.8,53.7
130.8,53.5
130.8,53.3
135,52.7
138,55.2
134.4,51.1
137.3,46.2
137.9,46.2
138.4,50.9
134.2,45.4
133.2,41.8
135.1,40.7
136,40.4
136.2,40.4
136,40
133.8,37.6
134.8,37.6
131.7,37.2
132.2,33.7
129.9,39.6
129.8,39.6
126.9,34.3
127.1,33.4
129.9,31
125.8,33
123.7,30.8
124.6,27.2
128.5,29.2
122.9,25.2
121,28.9
117.2,26.6
120,23.8
122,23.9
120.2,23.6
120.6,22.9
100.9,14.5
103.4,15.4
89.6,12.6
66.5,20.9
66,19.6
65.2,15.5
68.8,12.6
62.2,13.9
59.3,17
59.3,15.9
60.2,14.3
55.1,15.7
59,18.6
57.4,19.3
53.1,16.4
53.5,24
52,17.4
52.3,16.7
49.6,18
49.3,17.8
48.7,19.1
45.7,20.4
44.8,19.9
49.9,27
49.4,27.2
47.3,27.3
42.3,26
41.2,24.6
41.3,22.7
42.6,21.1
40.6,22.2
36.4,25.5
36.4,25.2
36.2,25.8
36,25.5
34.9,27.2
34.5,26.7
34.6,28.7
32.1,29.2
31.7,29
28.8,33.5
28.3,33.2
